datadate,gvkey,gvkeyx,isin,from,thru,conm,cshtrd,prccd,divd,curcdd,exchg,fic,gind,iid,secstat,trfd
2018-03-16,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,1107.0,27.4,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-03-16,100953,150095,DE0007037129,1988-07-31,,RWE AG,9529253.0,20.11,,EUR,171.0,DEU,551030,01W,A,2.55195771
2018-03-16,017436,150095,DE000BASF111,1988-07-31,,BASF SE,7212691.0,84.74,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-03-16,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,30769187.0,9.033,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-03-16,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,6207396.0,82.3,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-03-16,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,202.0,37.2,,EUR,154.0,DEU,203010,90W,A,1.35210774
2018-03-16,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,24612883.0,12.842,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-03-16,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,1897279.0,194.1,,EUR,171.0,DEU,252030,01W,A,1.30191558
2018-03-16,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,926660.0,79.22,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-03-16,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,727874.0,99.98,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-03-19,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,34.4,,EUR,154.0,DEU,203010,90W,A,1.35210774
2018-03-19,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,353839.0,98.94,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-03-19,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,530824.0,82.0,,EUR,171.0,DEU,151020,01W,A,1.46015392
2018-03-19,100037,150095,DE0006483001,1988-07-31,,LINDE AG,72025.0,171.0,,EUR,171.0,DEU,151010,01W,I,1.90885889
2018-03-19,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,858752.0,192.5,,EUR,171.0,DEU,252030,01W,A,1.30191558
2018-03-19,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,694535.0,108.45,,EUR,171.0,DEU,402030,01W,A,1.60208404
2018-03-19,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,11692359.0,12.55,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-03-19,017436,150095,DE000BASF111,1988-07-31,,BASF SE,2454234.0,83.6,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-03-19,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,486666.0,78.06,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-03-19,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1327948.0,81.6,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-03-19,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,2.0,27.0,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-03-19,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,15824221.0,8.896,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-03-19,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,202313.0,99.85,,EUR,171.0,DEU,303010,02W,A,1.41787892
2018-03-19,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,1545940.0,107.9,,EUR,171.0,DEU,303010,01W,A,1.83215475
2018-03-19,100953,150095,DE0007037129,1988-07-31,,RWE AG,5954897.0,20.05,,EUR,171.0,DEU,551030,01W,A,2.55195771
2018-03-19,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1381728.0,185.78,,EUR,171.0,DEU,403010,01W,A,1.95633568
2018-03-19,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1280315.0,159.54,,EUR,171.0,DEU,251020,02W,A,2.17728007
2018-03-19,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,5062394.0,22.7,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-03-19,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,126431.0,72.25,,EUR,171.0,DEU,251020,02W,A,1.96027501
2018-03-19,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,3616598.0,36.33,,EUR,171.0,DEU,203010,01W,A,1.81317213
2018-03-19,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,50.0,106.0,,EUR,257.0,DEU,303010,91W,A,1.0878882
2018-03-19,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,2554912.0,105.36,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-03-19,100953,150095,DE0007037145,1988-07-31,,RWE AG,115473.0,16.08,,EUR,171.0,DEU,551030,03W,A,3.06416113
2018-03-19,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,98.5,,EUR,257.0,DEU,303010,90W,A,1.10027601
2018-03-19,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,16.2,,EUR,154.0,DEU,151020,90W,A,1.05720604
2018-03-19,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,128048.0,160.6,,EUR,171.0,DEU,251020,01W,A,1.81040945
2018-03-19,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,498104.0,87.72,,EUR,171.0,DEU,303020,01W,A,1.54066036
2018-03-19,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,15.5,,EUR,257.0,DEU,352020,90W,A,1.08651255
2018-03-19,241456,150095,DE000A2G82W5,2001-03-19,,DEUTSCHE POST AG,,37.0,,EUR,154.0,DEU,203010,02W,I,1.94689591
2018-03-19,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1035734.0,38.75,,EUR,171.0,DEU,601020,01W,A,1.13078001
2018-03-19,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,938610.0,187.65,,EUR,171.0,DEU,403010,01W,A,1.96574856
2018-03-19,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,3043830.0,93.67,,EUR,171.0,DEU,352020,01W,A,2.81476998
2018-03-19,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,31.8,,EUR,154.0,DEU,251020,91W,A,1.17440735
2018-03-19,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,14955686.0,13.27,,EUR,171.0,DEU,501010,01W,A,2.36983566
2018-03-19,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,1261769.0,62.7,,EUR,171.0,DEU,351020,01W,A,1.35775576
2018-03-19,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,17.3,,EUR,154.0,DEU,303020,90W,A,1.02539651
2018-03-19,100037,150095,DE000A2E4L75,1988-07-31,,LINDE AG,680333.0,179.8,,EUR,171.0,DEU,151010,03W,I,1.0
2018-03-19,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,112398.0,134.5,,EUR,171.0,DEU,201010,01W,A,1.30176493
2018-03-19,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,1547267.0,85.17,,EUR,171.0,DEU,251020,01W,A,1.93275158
2018-03-19,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,2703401.0,26.66,,EUR,171.0,DEU,203020,01W,A,1.86420872
2018-03-19,103487,150095,DE0007164600,1995-12-31,,SAP SE,3107571.0,85.79,,EUR,171.0,DEU,451030,02W,A,1.68848319
2018-03-19,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,388631.0,220.5,,EUR,171.0,DEU,251010,01W,A,1.67580838
2018-03-19,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,3871626.0,68.53,,EUR,171.0,DEU,251020,01W,A,2.72718676
2018-03-19,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,756995.0,81.76,,EUR,171.0,DEU,351020,01W,A,1.31512448
2018-03-20,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,2015229.0,85.99,,EUR,171.0,DEU,251020,01W,A,1.93275158
2018-03-20,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,10824579.0,13.195,,EUR,171.0,DEU,501010,01W,A,2.36983566
2018-03-20,100037,150095,DE000A2E4L75,1988-07-31,,LINDE AG,397122.0,182.5,,EUR,171.0,DEU,151010,03W,I,1.0
2018-03-20,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,17.1,,EUR,154.0,DEU,303020,90W,A,1.02539651
2018-03-20,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,110420.0,136.3,,EUR,171.0,DEU,201010,01W,A,1.30176493
2018-03-20,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,3089811.0,27.38,,EUR,171.0,DEU,203020,01W,A,1.86420872
2018-03-20,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,786834.0,192.2,,EUR,171.0,DEU,403010,01W,A,1.96574856
2018-03-20,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,105.0,,EUR,257.0,DEU,303010,91W,A,1.0878882
2018-03-20,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,387300.0,223.5,,EUR,171.0,DEU,251010,01W,A,1.67580838
2018-03-20,103487,150095,DE0007164600,1995-12-31,,SAP SE,2944383.0,85.4,,EUR,171.0,DEU,451030,02W,A,1.68848319
2018-03-20,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,2732144.0,68.68,,EUR,171.0,DEU,251020,01W,A,2.72718676
2018-03-20,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,571792.0,82.28,,EUR,171.0,DEU,351020,01W,A,1.31512448
2018-03-20,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1537839.0,39.34,,EUR,171.0,DEU,601020,01W,A,1.13078001
2018-03-20,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,32.0,,EUR,154.0,DEU,251020,91W,A,1.17440735
2018-03-20,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,2269842.0,94.23,,EUR,171.0,DEU,352020,01W,A,2.81476998
2018-03-20,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,10.0,27.6,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-03-20,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,793548.0,106.4,,EUR,171.0,DEU,303010,01W,A,1.83215475
2018-03-20,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,135273.0,99.7,,EUR,171.0,DEU,303010,02W,A,1.41787892
2018-03-20,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,652387.0,111.05,,EUR,171.0,DEU,402030,01W,A,1.60208404
2018-03-20,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,9923330.0,8.866,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-03-20,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,2836114.0,36.47,,EUR,171.0,DEU,203010,01W,A,1.81317213
2018-03-20,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,485478.0,100.9,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-03-20,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1272022.0,84.18,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-03-20,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,8427216.0,12.66,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-03-20,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,1001265.0,194.65,,EUR,171.0,DEU,252030,01W,A,1.30191558
2018-03-20,100037,150095,DE0006483001,1988-07-31,,LINDE AG,48061.0,171.65,,EUR,171.0,DEU,151010,01W,I,1.90885889
2018-03-20,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,50.0,36.0,,EUR,154.0,DEU,203010,90W,A,1.35210774
2018-03-20,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,397703.0,82.06,,EUR,171.0,DEU,151020,01W,A,1.46015392
2018-03-20,100953,150095,DE0007037129,1988-07-31,,RWE AG,4147073.0,19.99,,EUR,171.0,DEU,551030,01W,A,2.55195771
2018-03-20,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,451720.0,78.64,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-03-20,017436,150095,DE000BASF111,1988-07-31,,BASF SE,1834174.0,84.43,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-03-20,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,16.2,,EUR,154.0,DEU,151020,90W,A,1.05720604
2018-03-20,100953,150095,DE0007037145,1988-07-31,,RWE AG,136581.0,16.16,,EUR,171.0,DEU,551030,03W,A,3.06416113
2018-03-20,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,3484298.0,23.0,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-03-20,241456,150095,DE000A2G82W5,2001-03-19,,DEUTSCHE POST AG,,37.0,,EUR,154.0,DEU,203010,02W,I,1.94689591
2018-03-20,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,15.5,,EUR,257.0,DEU,352020,90W,A,1.08651255
2018-03-20,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,341209.0,86.98,,EUR,171.0,DEU,303020,01W,A,1.54066036
2018-03-20,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,1144004.0,63.0,,EUR,171.0,DEU,351020,01W,A,1.35775576
2018-03-20,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,98.5,,EUR,257.0,DEU,303010,90W,A,1.10027601
2018-03-20,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,1661093.0,105.82,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-03-20,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,44917.0,72.9,,EUR,171.0,DEU,251020,02W,A,1.96027501
2018-03-20,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,82455.0,162.0,,EUR,171.0,DEU,251020,01W,A,1.81040945
2018-03-20,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,952067.0,161.3,,EUR,171.0,DEU,251020,02W,A,2.17728007
2018-03-20,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1223925.0,189.2,,EUR,171.0,DEU,403010,01W,A,1.95633568
2018-03-21,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,64054.0,74.1,,EUR,171.0,DEU,251020,02W,A,1.96027501
2018-03-21,100953,150095,DE0007037145,1988-07-31,,RWE AG,213556.0,16.38,,EUR,171.0,DEU,551030,03W,A,3.06416113
2018-03-21,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,15.4,,EUR,257.0,DEU,352020,90W,A,1.08651255
2018-03-21,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,2059213.0,106.12,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-03-21,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,910247.0,188.7,,EUR,171.0,DEU,403010,01W,A,1.95633568
2018-03-21,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,36.0,,EUR,154.0,DEU,203010,90W,A,1.35210774
2018-03-21,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,16.0,,EUR,154.0,DEU,151020,90W,A,1.05720604
2018-03-21,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,293780.0,86.92,,EUR,171.0,DEU,303020,01W,A,1.54066036
2018-03-21,241456,150095,DE000A2G82W5,2001-03-19,,DEUTSCHE POST AG,130.0,37.1,,EUR,154.0,DEU,203010,02W,I,1.94689591
2018-03-21,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,3739913.0,23.13,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-03-21,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,890867.0,160.5,,EUR,171.0,DEU,251020,02W,A,2.17728007
2018-03-21,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,72565.0,161.7,,EUR,171.0,DEU,251020,01W,A,1.81040945
2018-03-21,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,99.5,,EUR,257.0,DEU,303010,90W,A,1.10027601
2018-03-21,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,967637.0,62.88,,EUR,171.0,DEU,351020,01W,A,1.35775576
2018-03-21,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,2850566.0,94.37,,EUR,171.0,DEU,352020,01W,A,2.81476998
2018-03-21,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,1702913.0,86.1,,EUR,171.0,DEU,251020,01W,A,1.93275158
2018-03-21,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,,31.8,,EUR,154.0,DEU,251020,91W,A,1.17440735
2018-03-21,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,570797.0,82.58,,EUR,171.0,DEU,351020,01W,A,1.31512448
2018-03-21,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,309483.0,224.2,,EUR,171.0,DEU,251010,01W,A,1.67580838
2018-03-21,100037,150095,DE000A2E4L75,1988-07-31,,LINDE AG,288284.0,185.1,,EUR,171.0,DEU,151010,03W,I,1.0
2018-03-21,100083,150095,US07724U1034,2008-12-22,,BEIERSDORF AG,,16.9,,EUR,154.0,DEU,303020,90W,A,1.02539651
2018-03-21,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,580370.0,192.45,,EUR,171.0,DEU,403010,01W,A,1.96574856
2018-03-21,221616,150095,DE0005557508,1996-11-18,,DEUTSCHE TELEKOM,11294222.0,13.14,,EUR,171.0,DEU,501010,01W,A,2.36983566
2018-03-21,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,133436.0,135.0,,EUR,171.0,DEU,201010,01W,A,1.30176493
2018-03-21,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1306630.0,39.41,,EUR,171.0,DEU,601020,01W,A,1.13078001
2018-03-21,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,2793877.0,26.63,,EUR,171.0,DEU,203020,01W,A,1.86420872
2018-03-21,101942,150095,US42550U2087,1988-07-31,,HENKEL AG & CO KGAA,,104.0,,EUR,257.0,DEU,303010,91W,A,1.0878882
2018-03-21,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,2116166.0,68.63,,EUR,171.0,DEU,251020,01W,A,2.72718676
2018-03-21,103487,150095,DE0007164600,1995-12-31,,SAP SE,2192999.0,85.85,,EUR,171.0,DEU,451030,02W,A,1.68848319
2018-03-21,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,3127979.0,36.2,,EUR,171.0,DEU,203010,01W,A,1.81317213
2018-03-21,100953,150095,DE0007037129,1988-07-31,,RWE AG,5735345.0,19.895,,EUR,171.0,DEU,551030,01W,A,2.55195771
2018-03-21,100037,150095,DE0006483001,1988-07-31,,LINDE AG,22305.0,174.2,,EUR,171.0,DEU,151010,01W,I,1.90885889
2018-03-21,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,639803.0,106.2,,EUR,171.0,DEU,303010,01W,A,1.83215475
2018-03-21,017436,150095,DE000BASF111,1988-07-31,,BASF SE,1975299.0,84.78,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-03-21,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,373956.0,98.74,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-03-21,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,573998.0,77.7,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-03-21,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,117064.0,101.2,,EUR,171.0,DEU,303010,02W,A,1.41787892
2018-03-21,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,16701165.0,8.885,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-03-21,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,1029532.0,198.15,,EUR,171.0,DEU,252030,01W,A,1.30191558
2018-03-21,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,35558289.0,12.008,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-03-21,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,958644.0,84.88,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-03-21,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,1010.0,26.6,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-03-21,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,703709.0,81.66,,EUR,171.0,DEU,151020,01W,A,1.46015392
2018-03-21,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,599970.0,111.1,,EUR,171.0,DEU,402030,01W,A,1.60208404
2018-03-22,100103,150095,US2515613048,1988-07-31,,DEUTSCHE LUFTHANSA AG,,26.2,,EUR,154.0,DEU,203020,90W,A,1.1256627
2018-03-22,100373,150095,DE0006047004,2010-06-21,,HEIDELBERGCEMENT AG,1070142.0,79.76,,EUR,171.0,DEU,151020,01W,A,1.46015392
2018-03-22,017436,150095,DE000BASF111,1988-07-31,,BASF SE,3784455.0,82.51,,EUR,171.0,DEU,151010,01W,A,3.18878902
2018-03-22,241456,150095,DE0005552004,2001-03-19,,DEUTSCHE POST AG,4354954.0,35.7,,EUR,171.0,DEU,203010,01W,A,1.81317213
2018-03-22,101942,150095,DE0006048432,1988-07-31,,HENKEL AG & CO KGAA,783306.0,105.8,,EUR,171.0,DEU,303010,01W,A,1.83215475
2018-03-22,015576,150095,DE0005140008,1988-07-31,,DEUTSCHE BANK AG,25881801.0,11.65,,EUR,171.0,DEU,402030,01W,A,2.01547174
2018-03-22,243774,150095,DE0005810055,2012-02-08,,DEUTSCHE BOERSE AG,768892.0,111.7,,EUR,171.0,DEU,402030,01W,A,1.60208404
2018-03-22,320448,150095,DE0006062144,2018-03-19,,COVESTRO AG,1096647.0,83.1,,EUR,154.0,DEU,151010,01W,A,1.03946933
2018-03-22,100953,150095,DE0007037129,1988-07-31,,RWE AG,6743116.0,19.815,,EUR,171.0,DEU,551030,01W,A,2.55195771
2018-03-22,242158,150095,DE0007472060,2018-09-24,,WIRECARD AG,514999.0,96.0,,EUR,171.0,DEU,451020,01W,A,1.06058969
2018-03-22,221244,150095,DE000A1EWWW0,1998-06-19,,ADIDAS AG,1406791.0,197.0,,EUR,171.0,DEU,252030,01W,A,1.30191558
2018-03-22,101942,150095,DE0006048408,1988-07-31,,HENKEL AG & CO KGAA,122173.0,102.0,,EUR,171.0,DEU,303010,02W,A,1.41787892
2018-03-22,100590,150095,DE000ENAG999,1988-07-31,,E.ON SE,15981340.0,8.819,,EUR,171.0,DEU,551030,01W,A,3.80324692
2018-03-22,220301,150095,DE0006599905,2007-06-18,,MERCK KGAA,882571.0,76.16,,EUR,171.0,DEU,352020,01W,A,1.53321698
2018-03-22,241456,150095,DE000A2G82W5,2001-03-19,,DEUTSCHE POST AG,36.0,33.0,,EUR,154.0,DEU,203010,02W,I,1.94689591
2018-03-22,100737,150095,DE0007664039,2009-12-21,,VOLKSWAGEN AG,1282717.0,157.98,,EUR,171.0,DEU,251020,02W,A,2.17728007
2018-03-22,202305,150095,DE0005785604,2019-03-26,,FRESENIUS SE & CO KGAA,1428959.0,61.78,,EUR,171.0,DEU,351020,01W,A,1.35775576
2018-03-22,220301,150095,US5893392093,2007-06-18,,MERCK KGAA,,15.0,,EUR,257.0,DEU,352020,90W,A,1.08651255
2018-03-22,100737,150095,DE0007664005,2009-12-21,,VOLKSWAGEN AG,102336.0,159.1,,EUR,171.0,DEU,251020,01W,A,1.81040945
2018-03-22,100083,150095,DE0005200000,2008-12-22,,BEIERSDORF AG,540735.0,87.26,,EUR,171.0,DEU,303020,01W,A,1.54066036
2018-03-22,241456,150095,US25157Y2028,2001-03-19,,DEUTSCHE POST AG,,36.4,,EUR,154.0,DEU,203010,90W,A,1.35210774
2018-03-22,015724,150095,DE0008404005,1988-07-31,,ALLIANZ SE,1636150.0,184.92,,EUR,171.0,DEU,403010,01W,A,1.95633568
2018-03-22,019349,150095,DE0007236101,1988-07-31,,SIEMENS AG,3952373.0,103.26,,EUR,171.0,DEU,201050,01W,A,2.16757963
2018-03-22,100953,150095,DE0007037145,1988-07-31,,RWE AG,155413.0,16.36,,EUR,171.0,DEU,551030,03W,A,3.06416113
2018-03-22,132740,150095,DE0006231004,2009-12-21,,INFINEON TECHNOLOGIES AG,6304389.0,22.49,,EUR,171.0,DEU,453010,01W,A,1.14675142
2018-03-22,101942,150095,US42550U1097,1988-07-31,,HENKEL AG & CO KGAA,,99.5,,EUR,257.0,DEU,303010,90W,A,1.10027601
2018-03-22,100022,150095,DE0005190037,1988-07-31,,BAYER MOTOREN WERKE AG,86401.0,73.7,,EUR,171.0,DEU,251020,02W,A,1.96027501
2018-03-22,100373,150095,US42281P2056,2010-06-21,,HEIDELBERGCEMENT AG,,15.6,,EUR,154.0,DEU,151020,90W,A,1.05720604
2018-03-22,015677,150095,DE0008430026,1996-09-21,,MUNICH RE CO,988847.0,190.0,,EUR,171.0,DEU,403010,01W,A,1.96574856
2018-03-22,100037,150095,DE000A2E4L75,1988-07-31,,LINDE AG,455789.0,180.05,,EUR,171.0,DEU,151010,03W,I,1.0
2018-03-22,017828,150095,DE0007100000,1988-07-31,,DAIMLER AG,5624409.0,67.03,,EUR,171.0,DEU,251020,01W,A,2.72718676
2018-03-22,315682,150095,DE000A1ML7J1,2015-09-21,,VONOVIA SE,1446489.0,39.55,,EUR,171.0,DEU,601020,01W,A,1.13078001
2018-03-22,273099,150095,DE000A0D9PT0,2019-10-09,,MTU AERO ENGINES AG,139746.0,133.0,,EUR,171.0,DEU,201010,01W,A,1.30176493
2018-03-22,100103,150095,DE0008232125,1988-07-31,,DEUTSCHE LUFTHANSA AG,2923275.0,26.15,,EUR,171.0,DEU,203020,01W,A,1.86420872
2018-03-22,100022,150095,DE0005190003,1988-07-31,,BAYER MOTOREN WERKE AG,2088311.0,85.33,,EUR,171.0,DEU,251020,01W,A,1.93275158
2018-03-22,100609,150095,DE0005439004,2012-09-24,,CONTINENTAL AG,584654.0,223.1,,EUR,171.0,DEU,251010,01W,A,1.67580838
2018-03-22,100737,150095,US9286623031,2009-12-21,,VOLKSWAGEN AG,320.0,31.8,,EUR,154.0,DEU,251020,91W,A,1.17440735
2018-03-22,100080,150095,DE000BAY0017,1988-07-31,,BAYER AG,3537930.0,93.03,,EUR,171.0,DEU,352020,01W,A,2.81476998
2018-03-22,100037,150095,DE0006483001,1988-07-31,,LINDE AG,70516.0,170.15,,EUR,171.0,DEU,151010,01W,I,1.90885889
2018-03-22,212782,150095,DE0005785802,1999-09-20,,FRESENIUS MEDICAL CARE AG&CO,643054.0,81.72,,EUR,171.0,DEU,351020,01W,A,1.31512448
